pmid,source
1601853,GlyTouCan_glycan
16024647,GlyTouCan_glycan
16030209,GlyTouCan_glycan
16033536,GlyTouCan_glycan
16033656,GlyTouCan_glycan
16036915,UniProtKB
16037490,UniProtKB
16040958,UniProtKB
16043704,UniProtKB
16046623,UniProtKB
16052526,GlyTouCan_glycan
16083266,UniProtKB
16091596,GlyTouCan_glycan
16091843,UniProtKB
1609521,GlyTouCan_glycan
16107205,UniProtKB
16107505,GlyTouCan_glycan
16107727,GlyTouCan_glycan
16135558,GlyTouCan_glycan
16140958,GlyTouCan_glycan
16144911,GlyTouCan_glycan
16155793,GlyTouCan_glycan
16166642,UniProtKB
16169851,UniProtKB
16170054,UniCarbKB
16170054,UniProtKB
16174741,GlyTouCan_glycan
16177266,GlyTouCan_glycan
16182253,GlyTouCan_glycan
1618643,GlyTouCan_glycan
1618644,GlyTouCan_glycan
16186819,UniProtKB
1618769,GlyTouCan_glycan
1618794,GlyTouCan_glycan
16201406,UniProtKB
16203776,GlyTouCan_glycan
16203964,UniProtKB
16227201,GlyTouCan_glycan
16234806,UniProtKB
16234847,GlyTouCan_glycan
16239572,GlyTouCan_glycan
16239964,GlyTouCan_glycan
16244361,GlyTouCan_glycan
16251947,GlyTouCan_glycan
16252298,GlyTouCan_glycan
16263699,UniProtKB
1627599,GlyTouCan_glycan
1629228,GlyTouCan_glycan
16293754,UniProtKB
16310757,GlyTouCan_glycan
16310781,GlyTouCan_glycan
16321355,UniCarbKB
16332389,GlyTouCan_glycan
16332679,UniProtKB
16335952,UniProtKB
16342208,GlyTouCan_glycan
16342937,UniProtKB
16362042,UniProtKB
16368742,UniProtKB
16377570,UniProtKB
16384952,GlyTouCan_glycan
16391846,GlyTouCan_glycan
16413042,GlyTouCan_glycan
16422668,UniProtKB
16445295,UniProtKB
1644805,GlyTouCan_glycan
16452088,GlyTouCan_glycan
16452088,UniProtKB
16456079,UniProtKB
16467855,UniProtKB
16476442,UniProtKB
16476743,GlyTouCan_glycan
16477002,UniProtKB
16477004,GlyTouCan_glycan
16492764,UniProtKB
16497731,UniProtKB
16525726,GlyTouCan_glycan
16537470,UniProtKB
1654059,GlyTouCan_glycan
16547942,GlyTouCan_glycan
16563047,GlyTouCan_glycan
16564536,GlyTouCan_glycan
1659106,GlyTouCan_glycan
1660040,GlyTouCan_glycan
16601115,UniProtKB
16615117,GlyTouCan_glycan
16618943,GlyTouCan_glycan
16621820,GlyTouCan_glycan
16622833,UniProtKB
16623661,UniProtKB
16630548,GlyTouCan_glycan
16638743,UniProtKB
16641107,GlyTouCan_glycan
16650853,UniProtKB
16676419,GlyTouCan_glycan
16679516,UniProtKB
16698036,UniProtKB
1672317,GlyTouCan_glycan
16732286,UniProtKB
16740002,UniProtKB
1674292,GlyTouCan_glycan
1674743,GlyTouCan_glycan
16750161,UniProtKB
16752227,GlyTouCan_glycan
16754968,UniProtKB
1675636,UniProtKB
16763549,UniProtKB
16765900,UniProtKB
16766521,UniProtKB
16768443,UniProtKB
16770729,UniProtKB
16770733,GlyTouCan_glycan
16776550,GlyTouCan_glycan
16785326,GlyTouCan_glycan
1678888,GlyTouCan_glycan
16800635,GlyTouCan_glycan
16803907,UniProtKB
16804430,GlyTouCan_glycan
16809438,GlyTouCan_glycan
16815919,UniProtKB
16824489,GlyTouCan_glycan
16829524,UniProtKB
1682994,GlyTouCan_glycan
16834341,UniCarbKB
16834341,UniCarbKB_glycan
16859706,UniProtKB
16870210,UniProtKB
16873718,UniProtKB
16874306,UniProtKB
16877748,UniProtKB
16894147,UniProtKB
16895906,UniProtKB
16905106,UniProtKB
1691018,GlyTouCan_glycan
16912035,UniProtKB
16918391,GlyTouCan_glycan
1692349,GlyTouCan_glycan
1693148,UniProtKB
16940348,UniProtKB
1694115,UniCarbKB
1694115,UniCarbKB_glycan
1694179,UniProtKB
16943443,GlyTouCan_glycan
16944957,UniProtKB
1694784,UniCarbKB_glycan
1694784,UniProtKB
1694801,GlyTouCan_glycan
1695858,GlyTouCan_glycan
1696162,GlyTouCan_glycan
16964247,GlyTouCan_glycan
16965854,GlyTouCan_glycan
16980056,GlyTouCan_glycan
1698709,GlyTouCan_glycan
16990264,GlyTouCan_glycan
1699120,GlyTouCan_glycan
1699667,GlyTouCan_glycan
17005555,UniProtKB
17007843,UniProtKB
1701274,GlyTouCan_glycan
1701275,GlyTouCan_glycan
17015441,UniProtKB
17018531,UniProtKB
17027507,UniProtKB
17038624,GlyTouCan_glycan
17040911,UniProtKB
1705026,GlyTouCan_glycan
17051150,UniProtKB
1705547,GlyTouCan_glycan
17056022,GlyTouCan_glycan
17057347,GlyTouCan_glycan
17065148,UniProtKB
1706961,GlyTouCan_glycan
17082223,UniProtKB
1708771,UniProtKB
17090649,GlyTouCan_glycan
1709161,UniProtKB
17100645,GlyTouCan_glycan
17105447,UniProtKB
1710976,UniProtKB
17113084,UniProtKB
17117926,UniProtKB
17139081,UniProtKB
1714447,GlyTouCan_glycan
1714552,GlyTouCan_glycan
17157876,UniProtKB
1716870,GlyTouCan_glycan
1716885,GlyTouCan_glycan
1717490,GlyTouCan_glycan
17195076,GlyTouCan_glycan
17196528,UniProtKB
1720922,GlyTouCan_glycan
17215869,UniProtKB
17222411,UniProtKB
1723642,GlyTouCan_glycan
1724444,GlyTouCan_glycan
17253960,GlyTouCan_glycan
17255936,UniProtKB
1726670,GlyTouCan_glycan
1726779,GlyTouCan_glycan
1727929,GlyTouCan_glycan
17286803,UniProtKB
17293352,UniCarbKB
17293352,UniCarbKB_glycan
1730617,GlyTouCan_glycan
17310251,UniProtKB
1731338,UniProtKB
17316025,GlyTouCan_glycan
1732113,GlyTouCan_glycan
17330941,UniProtKB
17331201,UniProtKB
1735443,GlyTouCan_glycan
17355286,UniProtKB
17360426,UniProtKB
1736686,GlyTouCan_glycan
1737041,UniProtKB
17372356,UniProtKB
17395588,UniProtKB
17395589,UniProtKB
17400922,UniProtKB
1740433,UniProtKB
17457671,GlyTouCan_glycan
17467335,GlyTouCan_glycan
17485527,GlyTouCan_glycan
17488724,UniProtKB
17502376,UniProtKB
17503783,UniProtKB
17522109,GlyTouCan_glycan
17525160,UniProtKB
17534424,UniProtKB
17537433,GlyTouCan_glycan
17542669,UniProtKB
17548821,UniProtKB
17558413,UniProtKB
17567119,UniProtKB
17569869,UniProtKB
17576745,UniProtKB
17581592,UniProtKB
17591618,UniProtKB
17607374,GlyTouCan_glycan
17614963,UniProtKB
17616966,GlyTouCan_glycan
17643119,UniProtKB
17650508,UniProtKB
17652170,UniProtKB
17652409,GlyTouCan_glycan
17662946,UniProtKB
17669383,GlyTouCan_glycan
17674202,GlyTouCan_glycan
17684013,UniProtKB
17693575,GlyTouCan_glycan
17694322,GlyTouCan_glycan
17703189,UniProtKB
17704566,UniProtKB
17708590,GlyTouCan_glycan
17711303,UniProtKB
17715132,UniProtKB
1773918,GlyTouCan_glycan
17768338,UniProtKB
